customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,tenure_month,is_female,has_churned,has_phone,has_internet,has_internet_and_phone,service_type,partner_dependents,start_date,average_month,contract_type,phone_type,internet_type
0080-EMYVY,Female,0,No,No,1,1,1,Credit card (automatic),51.45,727.85,No,14.14674441,14,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,12/3/2019,51.45,1 Year,One Line,DSL
0080-OROZO,Female,0,No,No,1,2,1,Electronic check,99.25,3532,No,35.58690176,36,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,3/3/2018,99.25,1 Year,One Line,Fiber Optic
0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,44.3,44.3,No,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,1/3/2021,44.3,Month-to-Month,One Line,DSL
0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,94.2,2607.6,No,27.68152866,28,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,11/3/2018,94.2,Month-to-Month,One Line,Fiber Optic
0083-PIVIK,Male,0,No,No,2,1,1,Electronic check,81.25,5567.55,No,68.52369231,69,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,6/3/2015,81.25,1 Year,Two or More Lines,DSL
0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),99.95,3767.4,No,37.69284642,38,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,1/3/2018,99.95,Month-to-Month,Two or More Lines,Fiber Optic
0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,91.55,3673.6,No,40.12670672,40,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,10/3/2017,91.55,Month-to-Month,One Line,Fiber Optic
0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),104.5,4036.85,Yes,38.63014354,39,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,12/3/2017,104.5,Month-to-Month,Two or More Lines,Fiber Optic
0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,95,1120.3,Yes,11.79263158,12,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,3/3/2020,95,Month-to-Month,One Line,Fiber Optic
0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,50.35,314.55,No,6.247269116,6,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,8/3/2020,50.35,Month-to-Month,Two or More Lines,DSL
0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,64.5,1888.45,No,29.27829457,29,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,9/3/2018,64.5,Month-to-Month,Two or More Lines,DSL
0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,19.4,529.8,No,27.30927835,27,FALSE,FALSE,TRUE,FALSE,FALSE,Phone Only,0,11/3/2018,19.4,Month-to-Month,One Line,No Internet Service
0100-DUVFC,Male,1,Yes,No,2,2,1,Electronic check,104.8,7308.95,No,69.74188931,70,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,5/3/2015,104.8,1 Year,Two or More Lines,Fiber Optic
0103-CSITQ,Female,0,Yes,No,2,2,1,Bank transfer (automatic),109.4,6252.7,No,57.15447898,57,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,5/3/2016,109.4,1 Year,Two or More Lines,Fiber Optic
0104-PPXDV,Male,0,Yes,No,1,1,1,Credit card (automatic),50.3,2878.55,No,57.22763419,57,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,5/3/2016,50.3,1 Year,One Line,DSL
0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),71.4,1212.1,No,16.97619048,17,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,10/3/2019,71.4,Month-to-Month,Two or More Lines,DSL
0106-UGRDO,Female,0,Yes,No,2,2,2,Electronic check,116,8182.85,No,70.54181034,71,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,4/3/2015,116,2 Year,Two or More Lines,Fiber Optic
0107-WESLM,Male,0,No,No,1,0,0,Electronic check,19.85,19.85,Yes,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,Phone Only,0,1/3/2021,19.85,Month-to-Month,One Line,No Internet Service
0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,99.75,99.75,Yes,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,2,1/3/2021,99.75,Month-to-Month,Two or More Lines,Fiber Optic
0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,93.95,2861.45,No,30.45715806,30,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,8/3/2018,93.95,Month-to-Month,One Line,Fiber Optic
0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),90.8,1442.2,No,15.88325991,16,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,11/3/2019,90.8,Month-to-Month,Two or More Lines,Fiber Optic
0112-QWPNC,Male,0,Yes,No,2,1,1,Electronic check,84.35,4059.35,Yes,48.1250741,48,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,1,2/3/2017,84.35,1 Year,Two or More Lines,DSL
0114-IGABW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),58.25,4145.9,No,71.17424893,71,TRUE,FALSE,FALSE,TRUE,FALSE,Internet Only,1,3/3/2015,58.25,2 Year,No Phone Service,DSL
0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,107.55,3645.5,No,33.89586239,34,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,5/3/2018,107.55,Month-to-Month,Two or More Lines,Fiber Optic
0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),19.95,187.75,No,9.411027569,9,TRUE,FALSE,TRUE,FALSE,FALSE,Phone Only,1,5/3/2020,19.95,Month-to-Month,One Line,No Internet Service
0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,111.2,2317.1,Yes,20.83723022,21,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,1,6/3/2019,111.2,Month-to-Month,Two or More Lines,Fiber Optic
0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),40.2,1448.8,Yes,36.039801,36,FALSE,TRUE,FALSE,TRUE,FALSE,Internet Only,3,2/3/2018,40.2,Month-to-Month,No Phone Service,DSL
0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),85.8,2193.65,No,25.56701632,26,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,1/3/2019,85.8,Month-to-Month,One Line,Fiber Optic
0121-SNYRK,Male,0,No,No,0,1,1,Mailed check,35.4,1748.9,No,49.4039548,49,FALSE,FALSE,FALSE,TRUE,FALSE,Internet Only,0,1/3/2017,35.4,1 Year,No Phone Service,DSL
0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,73.85,511.25,Yes,6.92281652,7,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,8/3/2020,73.85,Month-to-Month,Two or More Lines,Fiber Optic
0123-CRBRT,Female,0,Yes,Yes,2,1,2,Mailed check,88.1,5526.75,No,62.73269012,63,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,12/3/2015,88.1,2 Year,Two or More Lines,DSL
0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,101.35,1553.95,Yes,15.3325111,15,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,11/3/2019,101.35,Month-to-Month,One Line,Fiber Optic
0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,45.8,1147,No,25.04366812,25,TRUE,FALSE,FALSE,TRUE,FALSE,Internet Only,2,1/3/2019,45.8,Month-to-Month,No Phone Service,DSL
0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,94.65,6747.35,No,71.28737454,71,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,3/3/2015,94.65,Month-to-Month,One Line,Fiber Optic
0129-QMPDR,Male,0,Yes,Yes,1,0,1,Bank transfer (automatic),20.5,865.05,No,42.19756098,42,FALSE,FALSE,TRUE,FALSE,FALSE,Phone Only,3,8/3/2017,20.5,1 Year,One Line,No Internet Service
0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),89.4,5976.9,No,66.8557047,67,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,8/3/2015,89.4,Month-to-Month,Two or More Lines,Fiber Optic
0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,86.25,181.65,Yes,2.106086957,2,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,12/3/2020,86.25,Month-to-Month,One Line,Fiber Optic
0134-XWXCE,Female,1,No,No,1,1,1,Bank transfer (automatic),74.85,3268.05,No,43.66132265,44,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,7/3/2017,74.85,1 Year,One Line,DSL
0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),89.75,1052.4,Yes,11.72590529,12,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,3/3/2020,89.75,Month-to-Month,Two or More Lines,Fiber Optic
0136-IFMYD,Male,1,Yes,No,2,2,2,Electronic check,109.95,7634.25,No,69.43383356,69,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,5/3/2015,109.95,2 Year,Two or More Lines,Fiber Optic
0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,80.2,80.2,Yes,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,1/3/2021,80.2,Month-to-Month,Two or More Lines,Fiber Optic
0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,19.85,63.75,Yes,3.211586902,3,TRUE,TRUE,TRUE,FALSE,TRUE,Phone Only,0,11/3/2020,19.85,Month-to-Month,One Line,No Internet Service
0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,90.35,190.5,No,2.108467072,2,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,12/3/2020,90.35,Month-to-Month,One Line,Fiber Optic
0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),86.45,2401.05,No,27.77385772,28,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,11/3/2018,86.45,Month-to-Month,Two or More Lines,Fiber Optic
0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,20.3,511.25,No,25.18472906,25,FALSE,FALSE,TRUE,FALSE,FALSE,Phone Only,0,1/3/2019,20.3,Month-to-Month,One Line,No Internet Service
0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,101.25,3949.15,No,39.00395062,39,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,11/3/2017,101.25,Month-to-Month,Two or More Lines,Fiber Optic
0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),94.7,2362.1,Yes,24.94297782,25,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,2/3/2019,94.7,Month-to-Month,Two or More Lines,Fiber Optic
0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,70.9,70.9,Yes,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,1/3/2021,70.9,Month-to-Month,One Line,Fiber Optic
0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,54.2,1152.7,Yes,21.26752768,21,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,1,5/3/2019,54.2,Month-to-Month,One Line,DSL
0164-APGRB,Female,0,No,No,2,2,2,Electronic check,114.9,8496.7,No,73.948651,74,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,1/3/2015,114.9,2 Year,Two or More Lines,Fiber Optic
0164-XAIRP,Female,0,No,No,1,0,2,Bank transfer (automatic),19.55,470.2,No,24.0511509,24,TRUE,FALSE,TRUE,FALSE,FALSE,Phone Only,0,2/3/2019,19.55,2 Year,One Line,No Internet Service
0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,86.85,1564.4,No,18.01266552,18,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,8/3/2019,86.85,Month-to-Month,Two or More Lines,Fiber Optic
0174-QRVVY,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.35,1847.55,No,72.8816568,73,FALSE,FALSE,TRUE,FALSE,FALSE,Phone Only,3,2/3/2015,25.35,2 Year,Two or More Lines,No Internet Service
0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),109.9,3694.7,No,33.61874431,34,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,5/3/2018,109.9,Month-to-Month,Two or More Lines,Fiber Optic
0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,19.95,58,No,2.90726817,3,TRUE,FALSE,TRUE,FALSE,FALSE,Phone Only,0,12/3/2020,19.95,Month-to-Month,One Line,No Internet Service
0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,87.2,4017.45,No,46.07167431,46,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,4/3/2017,87.2,Month-to-Month,Two or More Lines,Fiber Optic
0181-RITDD,Male,0,Yes,Yes,1,2,2,Mailed check,108.15,6825.65,No,63.11280629,63,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,11/3/2015,108.15,2 Year,One Line,Fiber Optic
0186-CAERR,Male,0,No,No,2,2,1,Bank transfer (automatic),116.3,8309.55,No,71.44926913,71,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,3/3/2015,116.3,1 Year,Two or More Lines,Fiber Optic
0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,89,605.45,No,6.802808989,7,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,1,8/3/2020,89,Month-to-Month,One Line,Fiber Optic
0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,74.4,1972.35,No,26.51008065,27,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,12/3/2018,74.4,Month-to-Month,One Line,Fiber Optic
0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,20.05,33.7,No,1.680798005,2,FALSE,FALSE,TRUE,FALSE,FALSE,Phone Only,0,1/3/2021,20.05,Month-to-Month,One Line,No Internet Service
0191-EQUUH,Female,0,No,Yes,0,1,2,Bank transfer (automatic),35.05,844.45,No,24.09272468,24,TRUE,FALSE,FALSE,TRUE,FALSE,Internet Only,2,2/3/2019,35.05,2 Year,No Phone Service,DSL
0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,74.75,2111.3,No,28.24481605,28,FALSE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,10/3/2018,74.75,Month-to-Month,One Line,DSL
0193-ESZXP,Female,1,Yes,No,1,2,1,Credit card (automatic),105.5,6205.5,Yes,58.81990521,59,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,1,4/3/2016,105.5,1 Year,One Line,Fiber Optic
0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,85.25,855.3,Yes,10.03284457,10,FALSE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,1,4/3/2020,85.25,Month-to-Month,Two or More Lines,Fiber Optic
0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),75.2,633.85,No,8.428856383,8,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,6/3/2020,75.2,Month-to-Month,Two or More Lines,Fiber Optic
0196-VULGZ,Female,1,Yes,No,2,2,0,Electronic check,84.35,474.9,Yes,5.630112626,6,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,1,9/3/2020,84.35,Month-to-Month,Two or More Lines,Fiber Optic
0197-PNKNK,Female,0,Yes,Yes,2,2,1,Bank transfer (automatic),84.45,5848.6,No,69.25518058,69,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,3,5/3/2015,84.45,1 Year,Two or More Lines,Fiber Optic
0201-MIBOL,Female,1,No,No,2,2,2,Bank transfer (automatic),102.4,6471.85,No,63.20166016,63,TRUE,FALSE,TRUE,TRUE,FALSE,Internet and Phone,0,11/3/2015,102.4,2 Year,Two or More Lines,Fiber Optic
0201-OAMXR,Female,0,No,No,2,2,1,Credit card (automatic),115.55,8127.6,Yes,70.33838165,70,TRUE,TRUE,TRUE,TRUE,TRUE,Internet and Phone,0,4/3/2015,115.55,1 Year,Two or More Lines,Fiber Optic
0203-HHYIJ,Male,0,No,No,2,0,1,Bank transfer (automatic),25.3,676.35,Yes,26.73320158,27,FALSE,TRUE,TRUE,FALSE,TRUE,Phone Only,0,12/3/2018,25.3,1 Year,Two or More Lines,No Internet Service
